Equipes;Pts;PJ;VIT;E;DER;GM;GC;SG
México;9;3;3;0;0;6;0;6
África do Sul;4;3;1;1;1;2;3;-1
Coreia do Sul;3;3;1;0;2;2;3;-1
República Tcheca;1;3;0;1;2;2;6;-4
Suíça;7;3;2;1;0;7;3;4
Canadá;4;3;1;1;1;8;3;5
Bósnia;4;3;1;1;1;5;6;-1
Catar;1;3;0;1;2;2;10;-8
Brasil;7;3;2;1;0;7;1;6
Marrocos;7;3;2;1;0;6;3;3
Escócia;3;3;1;0;2;1;4;-3
Haiti;0;3;0;0;3;2;8;-6
Estados Unidos;6;3;2;0;1;8;4;4
Austrália;4;3;1;1;1;2;2;0
Paraguai;4;3;1;1;1;2;4;-2
Turquia;3;3;1;0;2;3;5;-2
Alemanha;6;3;2;0;1;10;4;6
Costa do Marfim;6;3;2;0;1;4;2;2
Equador;4;3;1;1;1;2;2;0
Curacao;1;3;0;1;2;1;9;-8
Holanda;7;3;2;1;0;10;4;6
Japão;5;3;1;2;0;7;3;4
Suécia;4;3;1;1;1;7;7;0
Tunísia;0;3;0;0;3;2;12;-10
Bélgica;5;3;1;2;0;6;2;4
Egito;5;3;1;2;0;5;3;2
Irã;3;3;0;3;0;3;3;0
Nova Zelândia;1;3;0;1;2;4;10;-6
Espanha;7;3;2;1;0;5;0;5
Cabo Verde;3;3;0;3;0;2;2;0
Uruguai;2;3;0;2;1;3;4;-1
Arábia Saudita;2;3;0;2;1;1;5;-4
França;9;3;3;0;0;10;2;8
Noruega;6;3;2;0;1;8;7;1
Senegal;3;3;1;0;2;8;6;2
Iraque;0;3;0;0;3;1;12;-11
Argentina;9;3;3;0;0;8;1;7
Áustria;4;3;1;1;1;6;6;0
Argélia;4;3;1;1;1;5;7;0
Jordânia;0;3;0;0;3;3;8;-5
Colômbia;7;3;2;1;0;4;1;3
Portugal;5;3;1;2;0;6;1;5
RD Congo;4;3;1;1;1;4;3;1
Uzbequistão;0;3;0;0;3;2;11;-9
Inglaterra;7;3;2;1;0;6;2;4
Croácia;6;3;2;0;1;5;5;0
Gana;4;3;1;1;1;2;2;0
Panamá;0;3;0;0;3;0;4;-4
